Job Title,Company,Location,Required Skills,Suggested Additional Skills,Experience Level,Salary Min (NPR),Salary Max (NPR),Average Salary (NPR),Posted Date,Job URL,Description
Python Developer,F1Soft International,"Kathmandu, Nepal","agile, api, aws, ci/cd, django, docker, flask, git, microservices, postgresql, python, rest, rest api","Azure, Celery, FastAPI, GCP, GraphQL, Kubernetes, Machine Learning Basics, Redis",Mid (2-4 years),45000.0,80000.0,"62,500",2024-12-15,https://merojob.com/jobs/python-developer-f1soft,"We are seeking an experienced Python Developer to join our fintech team. Required skills: Python, Django, Flask, PostgreSQL, REST API, Git, Agile methodologies. Experience with payment gateway integra..."
Data Scientist,Fusemachines Nepal,"Kathmandu, Nepal","data science, deep learning, machine learning, nlp, numpy, pandas, python, pytorch, scikit-learn, spark, sql, tensorflow","A/B Testing, Apache Spark, Business Intelligence, Data Visualization, MLOps, MLflow, Power BI, Statistical Analysis, Tableau",Not Specified,70000.0,130000.0,"100,000",2024-12-15,https://jobsnepal.com/data-scientist-fusemachines,"Data Scientist role focusing on machine learning and AI solutions. Required skills: Python, Pandas, NumPy, Scikit-learn, TensorFlow, PyTorch, SQL, Data Science, Machine Learning, Deep Learning, NLP. E..."
Frontend Developer,YoungInnovations,"Kathmandu, Nepal","bootstrap, css, git, html, javascript, npm, react, tailwind, typescript, vue, webpack",,Mid (2-4 years),40000.0,70000.0,"55,000",2024-12-15,https://merojob.com/frontend-developer-younginnovations,"Frontend Developer position for web applications. Required skills: JavaScript, TypeScript, React, Vue, HTML, CSS, Tailwind CSS, Bootstrap, Webpack, npm, Git. Experience with state management (Redux, V..."
Mobile App Developer (React Native),F1Soft International,"Kathmandu, Nepal","api, git, javascript, react, rest, rest api, typescript","App Performance, App Store Optimization, Biometric Authentication, Firebase, Flutter, Kotlin, Native Modules, Payment Gateway Integration, State Management, Swift",Mid (2-4 years),50000.0,85000.0,"67,500",2024-12-15,https://merojob.com/mobile-developer-react-native-f1soft,"Mobile App Developer using React Native for cross-platform apps. Skills: React Native, JavaScript, TypeScript, Redux, REST API, Git, Firebase, Mobile App Development. Experience with iOS and Android a..."
AI/ML Engineer,Fusemachines Nepal,"Kathmandu, Nepal","aws, deep learning, docker, gcp, machine learning, nlp, numpy, pandas, python, pytorch, scikit-learn, tensorflow","Computer Vision, Generative AI, Kubernetes for ML, LLMs, MLOps, MLflow, Model Deployment, Model Optimization, Real-time ML Inference, Reinforcement Learning, Transformers",Not Specified,80000.0,140000.0,"110,000",2024-12-15,https://merojob.com/ai-ml-engineer-fusemachines,"AI/ML Engineer for machine learning solutions. Required: Python, TensorFlow, PyTorch, Scikit-learn, Pandas, NumPy, Deep Learning, Machine Learning, NLP, Computer Vision, MLOps, Docker, AWS, GCP. Exper..."
Senior Python Developer,CloudFactory,"Kathmandu, Nepal","api, aws, docker, fastapi, graphql, kubernetes, machine learning, microservices, postgresql, python, redis, rest, rest api","Azure, CI/CD, Celery, GCP, Machine Learning Basics",Senior (4+ years),80000.0,120000.0,"100,000",2024-12-14,https://jobsnepal.com/senior-python-developer-cloudfactory,"Senior Python Developer needed for cloud-based data processing platform. Skills required: Python, FastAPI, PostgreSQL, Redis, Celery, Docker, Kubernetes, AWS, Microservices, REST API, GraphQL. 5+ year..."
Data Scientist,CloudFactory,"Kathmandu, Nepal","data science, machine learning, numpy, pandas, postgresql, python, r, scikit-learn, sql","A/B Testing, Apache Spark, Business Intelligence, Data Visualization, Deep Learning, MLOps, MLflow, NLP, Power BI, PyTorch, Statistical Analysis, Tableau",Mid (2-4 years),60000.0,110000.0,"85,000",2024-12-14,https://merojob.com/data-scientist-cloudfactory,"Data Scientist position for data analytics and insights. Skills: Python, R, Pandas, NumPy, Scikit-learn, SQL, PostgreSQL, Data Science, Machine Learning, Statistical Analysis, Data Visualization. Expe..."
Backend Developer,F1Soft International,"Kathmandu, Nepal","api, aws, ci/cd, django, docker, express, graphql, microservices, mongodb, node.js, postgresql, python, redis, rest, rest api",,Mid (2-4 years),50000.0,85000.0,"67,500",2024-12-14,https://jobsnepal.com/backend-developer-f1soft,"Backend Developer role for fintech applications. Skills: Node.js, Express, Python, Django, PostgreSQL, MongoDB, Redis, REST API, GraphQL, Microservices, Docker, AWS. Experience with payment systems an..."
iOS Developer,Leapfrog Technology,"Lalitpur, Nepal","api, git, rest, rest api, swift",,Not Specified,55000.0,90000.0,"72,500",2024-12-14,https://jobsnepal.com/ios-developer-leapfrog,"iOS Developer position for native iOS applications. Required: Swift, Objective-C, iOS SDK, Xcode, UIKit, SwiftUI, REST API, Git, CocoaPods. Experience with Core Data, Firebase, and app store deploymen..."
Machine Learning Engineer,Leapfrog Technology,"Lalitpur, Nepal","apache spark, aws, deep learning, docker, kubernetes, machine learning, nlp, numpy, pandas, python, pytorch, scikit-learn, spark, tensorflow",,Not Specified,75000.0,130000.0,"102,500",2024-12-14,https://jobsnepal.com/ml-engineer-leapfrog,"Machine Learning Engineer for AI-powered products. Skills: Python, TensorFlow, PyTorch, Scikit-learn, Pandas, NumPy, Machine Learning, Deep Learning, NLP, Apache Spark, MLflow, Docker, Kubernetes, AWS..."
